x_hat_0,x_hat_1,x_hat_2,x_hat_3,x_hat_4,x_hat_5
-0.112665,-0.975731,-0.00893491,-1.06561,-3.42458,-0.0297158
-0.142135,-0.967762,-0.00804928,-1.24179,-3.28261,-0.00968384
-0.171625,-0.938176,-0.00636862,-1.27529,-2.78233,-0.00189045
-0.208238,-0.902223,-0.00409906,-1.64402,-2.90018,0.0181975
-0.253055,-0.856247,-0.000838198,-1.75735,-2.25564,0.0410725
-0.304448,-0.804872,0.00238724,-2.14021,-2.4277,0.0403746
-0.364001,-0.766497,0.00364221,-2.34309,-2.24333,0.0105672
-0.425451,-0.71955,0.00262098,-2.61414,-1.9232,-0.0123951
-0.478253,-0.649389,0.000467058,-2.5448,-1.28121,-0.0273694
-0.527846,-0.581009,-0.00210654,-2.90184,-1.47364,-0.0390491
-0.568316,-0.51862,-0.00483846,-2.64947,-0.958334,-0.0499198
-0.60427,-0.456326,-0.00709023,-3.06662,-1.03357,-0.0454231
-0.636058,-0.391303,-0.00835371,-2.7917,-0.442386,-0.0391187
-0.664892,-0.329315,-0.0086864,-3.21215,-0.654456,-0.0291679
-0.703047,-0.284733,-0.00866544,-3.24883,-0.474179,-0.031897
-0.716194,-0.222936,-0.00973586,-2.80528,0.128315,-0.0585904
-0.720055,-0.153357,-0.0119705,-3.09048,0.175152,-0.0710372
-0.726148,-0.0914393,-0.01343,-2.89317,0.41441,-0.0534433
-0.696977,-0.0182814,-0.0139274,-2.1782,0.919035,-0.055323
-0.649403,0.0583775,-0.0152944,-2.1876,1.02835,-0.0805349
-0.597874,0.130454,-0.0178981,-1.73344,1.3388,-0.098534
-0.51721,0.20569,-0.0196373,-1.0326,1.62535,-0.0755834
-0.429326,0.270729,-0.0198556,-0.965457,1.59635,-0.0696639
-0.33174,0.329326,-0.0206113,-0.146161,1.91225,-0.0916939
-0.224106,0.383249,-0.0282365,-0.00079976,1.88549,-0.261157
-0.128601,0.422177,-0.0476169,0.288914,1.88855,-0.464309
-0.0257777,0.455004,-0.0748645,0.875116,1.99641,-0.611829
0.0794746,0.480841,-0.105816,1.08429,1.93204,-0.757994
0.180104,0.498261,-0.134586,1.49667,1.95169,-0.772346
0.281032,0.511791,-0.151461,1.80635,1.95022,-0.639815
0.368077,0.517719,-0.159458,1.83666,1.84173,-0.651519
0.439526,0.516777,-0.163636,2.00137,1.80614,-0.593102
0.505026,0.514187,-0.164159,2.18239,1.79038,-0.582115
0.555336,0.50523,-0.17112,2.05458,1.61525,-0.771246
0.588423,0.489234,-0.18262,2.07266,1.53608,-0.754522
0.617084,0.473706,-0.183371,2.16943,1.51446,-0.561575
0.639326,0.457503,-0.17712,2.10211,1.40761,-0.570132
0.651121,0.437546,-0.170714,2.04416,1.29778,-0.513001
0.657435,0.417329,-0.159249,2.0373,1.25896,-0.387631
0.657949,0.397762,-0.147834,1.93181,1.17195,-0.433
0.652779,0.37885,-0.136696,1.88694,1.13788,-0.31413
0.642502,0.359596,-0.12577,1.75675,1.02848,-0.359745
0.626465,0.339239,-0.118263,1.65794,0.971399,-0.32923
0.607753,0.320793,-0.107414,1.57048,0.935813,-0.21591
0.585555,0.303246,-0.0962055,1.43073,0.864871,-0.242537
0.560703,0.284514,-0.0818294,1.34108,0.779196,-0.050548
0.535964,0.267357,-0.0512506,1.25744,0.774656,0.298485
0.510358,0.254042,-0.003155,1.14206,0.76156,0.641042
0.484152,0.242688,0.0566186,1.0595,0.733296,0.956158
0.458377,0.229546,0.111858,0.96781,0.632569,0.942288
0.433213,0.214048,0.149889,0.893156,0.576208,0.881847
0.409991,0.199078,0.17037,0.841881,0.536919,0.736613
0.389513,0.185517,0.176033,0.80274,0.508165,0.625642
0.369314,0.171757,0.174573,0.704168,0.435305,0.583812
0.349859,0.158223,0.170132,0.679549,0.41665,0.534505
0.333156,0.146583,0.163686,0.640709,0.3906,0.497972
0.317306,0.135488,0.156392,0.58416,0.348845,0.465818
0.300933,0.122943,0.149144,0.514056,0.272575,0.447443
0.287898,0.110461,0.142301,0.558449,0.26154,0.425356
0.284907,0.101426,0.135647,0.69369,0.277419,0.404042
0.293533,0.0957194,0.129104,0.852016,0.287601,0.381128
0.311247,0.087884,0.124545,1.00114,0.179255,0.411373
0.33745,0.0764303,0.120465,1.20771,0.133969,0.361757
0.377434,0.0620165,0.114243,1.56044,0.0177822,0.324406
0.429454,0.0415787,0.10598,1.81754,-0.131525,0.262282
0.475969,0.0166616,0.0969871,1.78038,-0.248596,0.246022
0.521486,-0.0135888,0.0880439,2.12054,-0.45283,0.199813
0.566508,-0.0471408,0.0782808,2.08992,-0.55269,0.160352
0.618234,-0.0868614,0.0692914,2.62164,-0.858031,0.151505
0.662705,-0.12609,0.0613683,2.26036,-0.821191,0.125462
0.685186,-0.154244,0.0523245,2.34134,-0.836296,0.0649199
0.716496,-0.176951,0.042199,2.65909,-0.873365,0.0319859
0.752499,-0.190534,0.0333611,2.69067,-0.750186,0.0279641
0.768087,-0.189129,0.0279204,2.36138,-0.563664,0.0613268
0.777538,-0.173781,0.0244428,2.63498,-0.362391,0.0425506
0.781126,-0.141624,0.020435,2.26959,0.000663549,0.022285
0.778742,-0.095653,0.0164915,2.49862,0.240062,0.0158569
0.780846,-0.0447793,0.0142351,2.37428,0.459688,0.040018
0.758566,0.014137,0.0130191,1.85287,0.818944,0.0280366
0.726956,0.0848479,0.0115561,1.96339,1.1973,0.0246972
0.701033,0.161633,0.0106501,1.78267,1.48523,0.0327493
0.659293,0.230899,0.0107912,1.35089,1.5384,0.0466385
0.618186,0.299437,0.0109255,1.50367,1.95696,0.0335687
0.587891,0.376567,0.00966174,1.35219,2.25752,0.00970899
0.543733,0.444979,0.00796792,0.913056,2.26797,0.0129495
0.50352,0.504779,0.00834517,1.14579,2.5096,0.0538071
0.478429,0.56496,0.00906296,1.03746,2.7026,0.0248531
0.440652,0.612586,0.00754699,0.624038,2.5964,-0.00162408
0.406387,0.654414,0.00434659,0.86458,2.88345,-0.0315435
0.374745,0.683588,0.00019562,0.451983,2.5503,-0.050088
0.341166,0.699422,-0.00431954,0.587587,2.72899,-0.0708638
0.310423,0.710279,-0.00796328,0.290571,2.52782,-0.0585129
0.254948,0.692114,-0.00931912,-0.300659,2.01964,-0.0347262
0.190069,0.66085,-0.00927764,-0.357852,2.04403,-0.0302719
0.12404,0.627406,-0.0110617,-0.792173,1.73872,-0.0838946
0.0394988,0.570726,-0.0146723,-1.32792,1.17718,-0.0924223
-0.0445922,0.505143,-0.0167353,-1.37983,1.0953,-0.0675805
-0.120127,0.433797,-0.0156018,-1.69273,0.555712,-0.0204498
-0.188941,0.355438,-0.0118113,-1.73369,0.399048,0.0124557
-0.247273,0.276724,-0.000957262,-1.89696,-0.00987943,0.197833
-0.303156,0.184357,0.0229914,-2.08122,-0.529381,0.444273
-0.349494,0.0890422,0.0634811,-2.03486,-0.745135,0.815938
-0.383428,-0.00162315,0.122289,-2.07389,-1.07969,1.2279
-0.411774,-0.0912894,0.191327,-2.12421,-1.36136,1.51037
-0.430773,-0.170485,0.269138,-2.02179,-1.4322,1.95548
-0.438272,-0.234334,0.353085,-1.94739,-1.50745,2.22871
-0.439046,-0.285784,0.424129,-1.89279,-1.54928,2.20152
-0.432503,-0.323533,0.485066,-1.75462,-1.50126,2.45892
-0.419745,-0.351092,0.538071,-1.67797,-1.54103,2.41895
-0.405313,-0.373391,0.561896,-1.61876,-1.55428,2.04438
-0.387493,-0.387135,0.565487,-1.48375,-1.46747,2.03974
-0.36514,-0.390611,0.556246,-1.3695,-1.37356,1.72219
-0.342894,-0.388774,0.518831,-1.32806,-1.34818,1.21078
-0.321185,-0.38387,0.464686,-1.2262,-1.27741,1.00342
-0.297892,-0.373606,0.392901,-1.1311,-1.16815,0.348647
-0.272699,-0.358004,0.304288,-1.00947,-1.05997,0.0381119
