x_hat_0,x_hat_1,x_hat_2,x_hat_3,x_hat_4,x_hat_5
4.23999,-1.86817,4.28996,-1.77792,-4.78973,0.0816386
4.03689,-2.30764,4.32285,-1.99107,-4.43525,0.120405
3.8137,-2.78973,4.24894,-2.45131,-4.83467,0.0570859
3.52995,-3.2719,4.28431,-2.78319,-4.88834,0.0545824
3.23663,-3.78973,4.29863,-3.17356,-4.83599,0.0422419
2.88659,-4.21583,4.34902,-3.29632,-4.42235,0.0641107
2.55144,-4.67864,4.36866,-3.78213,-4.77372,0.0638213
2.13902,-5.09751,4.38707,-3.77239,-4.43853,0.0626901
1.71712,-5.53594,4.37894,-4.3611,-4.63956,0.0546671
1.29528,-5.99772,4.38083,-4.31567,-4.24972,0.0559365
0.806827,-6.46072,4.35797,-4.93459,-4.57115,0.0417359
0.284591,-6.86662,4.32982,-5.21225,-4.4767,0.0135204
-0.213112,-7.29301,4.36251,-5.03832,-4.02224,0.0115261
-0.74592,-7.66795,4.32686,-5.53703,-4.02696,-0.0294796
-1.33785,-8.03268,4.36378,-5.62812,-3.84192,0.0122319
-1.87451,-8.38442,4.38299,-5.21477,-3.41174,0.0208678
-2.40592,-8.65129,4.35829,-5.44421,-3.27303,-0.0244706
-2.92799,-8.96059,4.32899,-5.23605,-2.98356,-0.0645346
-3.40441,-9.17776,4.3582,-4.7744,-2.64799,-0.0230105
-3.86906,-9.3881,4.36861,-4.86564,-2.58914,-0.0131782
-4.29952,-9.55166,4.39708,-4.24826,-2.18565,-0.0150116
-4.6992,-9.73105,4.33251,-4.21041,-2.10655,-0.216192
-5.12297,-9.91384,4.2814,-4.04526,-2.00027,-0.427638
-5.44793,-10.0757,4.24946,-3.53556,-1.78671,-0.56853
-5.82154,-10.2004,4.17811,-3.39978,-1.70352,-0.735422
-6.12813,-10.2778,4.09035,-3.02288,-1.51343,-0.795426
-6.34466,-10.3918,3.9828,-2.66982,-1.37865,-0.742352
-6.55973,-10.4253,3.94933,-2.56206,-1.2846,-0.764855
-6.74416,-10.4954,3.91375,-2.3051,-1.16096,-0.727406
-6.89723,-10.5821,3.82698,-2.01251,-1.04132,-0.772075
-7.09826,-10.6554,3.74655,-2.03226,-1.0605,-0.984678
-7.24609,-10.7475,3.66326,-1.87635,-1.01267,-1.00878
-7.35851,-10.767,3.55412,-1.62935,-0.867454,-0.897461
-7.45885,-10.8048,3.45574,-1.52746,-0.823511,-0.959391
-7.57895,-10.8655,3.30461,-1.43626,-0.806925,-0.997916
-7.6842,-10.9262,3.18512,-1.29419,-0.73434,-0.948199
-7.78144,-10.9502,3.05435,-1.24135,-0.68579,-1.05608
-7.85138,-10.9917,2.92236,-1.12017,-0.611924,-1.01218
-7.98298,-10.9961,2.83336,-1.12977,-0.58528,-1.07964
-8.01303,-11.0201,2.73759,-1.03936,-0.53437,-1.07967
-8.03868,-11.0261,2.66421,-0.94623,-0.458964,-0.988411
-8.06168,-11.0438,2.60389,-0.908035,-0.432262,-1.01264
-8.14423,-11.0429,2.47718,-0.879102,-0.410727,-0.891317
-8.19748,-11.0558,2.4153,-0.830779,-0.334259,-0.586009
-8.2208,-11.065,2.37927,-0.796938,-0.270785,-0.276324
-8.23751,-11.0782,2.39339,-0.738015,-0.230349,0.0400734
-8.25311,-11.1014,2.39445,-0.696174,-0.266258,0.0522131
-8.28048,-11.0981,2.40763,-0.656986,-0.244947,0.0409609
-8.28526,-11.1455,2.41762,-0.588655,-0.251607,-0.0408831
-8.31723,-11.2102,2.4115,-0.539437,-0.264709,-0.0981378
-8.37268,-11.1736,2.47895,-0.567471,-0.242911,-0.0368235
-8.43442,-11.1944,2.50779,-0.53853,-0.22138,-0.0159926
-8.43992,-11.1245,2.53155,-0.48581,-0.142729,0.00925319
-8.4536,-11.1482,2.51807,-0.461845,-0.155555,0.00710375
-8.48904,-11.1508,2.5158,-0.471348,-0.184672,0.023754
-8.49255,-11.1243,2.54999,-0.359828,-0.136301,0.0616911
-8.48334,-11.1533,2.53518,-0.167991,-0.111331,0.0596079
-8.53212,-11.1482,2.55422,-0.0102459,-0.0688354,0.0800238
-8.50527,-11.1278,2.59962,0.189493,-0.122712,0.163919
-8.45339,-11.1895,2.61368,0.450585,-0.182047,0.148363
-8.39329,-11.159,2.64737,0.836728,-0.233665,0.157719
-8.32967,-11.1449,2.68461,1.12851,-0.327555,0.145634
-8.19282,-11.2061,2.7355,1.21028,-0.449188,0.182335
-8.05359,-11.2059,2.74182,1.62715,-0.599674,0.155161
-7.88604,-11.325,2.74501,1.72515,-0.746124,0.131064
-7.65064,-11.4275,2.73964,2.36841,-1.05836,0.126725
-7.37998,-11.5525,2.76454,2.22845,-1.07798,0.128471
-7.13116,-11.64,2.73653,2.4715,-1.12001,0.0584855
-6.81529,-11.7829,2.73317,2.96152,-1.225,0.0332443
-6.47081,-11.8491,2.7438,3.19947,-1.1294,0.0432418
-6.14589,-11.995,2.72534,3.09659,-1.04437,0.062087
-5.77884,-12.0693,2.75642,3.55867,-0.895214,0.0704952
-5.44709,-12.1798,2.76887,3.4084,-0.634808,0.0621976
-5.04427,-12.2316,2.81049,3.83774,-0.444958,0.0873472
-4.6626,-12.2917,2.78722,3.91559,-0.279319,0.0884374
-4.26292,-12.2773,2.8932,3.65109,0.0659513,0.154241
-3.89974,-12.2198,2.90826,3.91937,0.45336,0.154919
-3.53374,-12.1712,2.89329,3.91236,0.747313,0.142818
-3.12972,-12.0884,2.88707,3.70612,0.859055,0.143175
-2.76061,-11.9767,2.90855,3.98649,1.31868,0.140775
-2.4211,-11.8334,2.93218,3.95422,1.68637,0.130463
-2.05467,-11.6433,3.00047,3.68372,1.82792,0.177365
-1.6299,-11.4151,2.97906,4.04994,2.20342,0.186941
-1.25854,-11.089,2.99518,4.04917,2.59858,0.163345
-0.863755,-10.8135,3.04317,3.79176,2.68023,0.166933
-0.499378,-10.531,3.00542,4.08975,3.11347,0.102524
-0.15218,-10.1989,3.02176,3.77942,3.02201,0.0917478
0.256439,-9.87599,3.05008,4.00478,3.3787,0.0876518
0.654679,-9.46712,3.06015,3.82379,3.44774,0.0981669
0.987934,-9.12928,3.07611,3.33759,3.18784,0.122
1.29511,-8.74635,3.1228,3.31394,3.435,0.150369
1.57091,-8.39604,3.15971,2.92503,3.34662,0.118604
