x_hat_0,x_hat_1,x_hat_2,x_hat_3,x_hat_4,x_hat_5
0.098105,0.0072865,-0.010831,0,0,0
-0.00865132,0.00855325,0.0249909,-0.0110566,0.000131195,0.00371002
0.0421719,-0.0220176,0.0346335,0.00307105,-0.00738714,0.00449686
0.054437,0.0188984,0.0207387,0.00997734,0.0121537,-0.000832814
0.00928186,0.000908773,-0.00775909,-0.0223935,0.000340792,-0.021907
0.00685334,-0.0484255,-0.0246307,-0.0214381,-0.0406592,-0.0317772
-0.0112686,-0.0175154,0.0104527,-0.0361557,-0.0083831,0.000297029
0.00704861,-0.0347794,-0.00635737,-0.0150252,-0.0245123,-0.0132934
-0.0440803,0.00964549,-0.0554299,-0.0610575,0.0197916,-0.0582963
-0.0101703,-0.0274486,-0.0376601,-0.0344165,-0.000245009,-0.0535841
-0.016139,0.000631856,0.0154849,-0.0437358,0.0262718,-0.0194466
-0.022778,0.0379416,-0.0259134,-0.052233,0.0591156,-0.0539679
-0.0603857,0.0460823,0.000658438,-0.0727395,0.0569164,-0.0234425
-0.0461286,-0.0153293,0.0292617,-0.0537927,0.00291611,0.0164975
-0.00474669,-0.0122059,0.0251189,-0.0124458,-0.00849888,0.00717187
-0.0381154,-0.0219035,0.0606597,-0.0353176,-0.0200417,0.106373
-0.0320972,-0.0248985,0.0927171,-0.0253117,-0.0191559,0.366756
-0.0514664,-0.0388484,0.103407,-0.0347074,-0.0277272,0.711315
-0.0898075,-0.0498131,0.21661,-0.062231,-0.0388959,1.01392
-0.0869427,-0.024754,0.319223,-0.0545679,-0.0191727,1.57918
-0.0763972,-0.0521951,0.512043,-0.03946,-0.0359489,1.97191
-0.0499284,-0.0689122,0.713967,-0.0156324,-0.0425784,2.56943
-0.12624,-0.108233,1.01384,-0.0699773,-0.0608281,2.89659
-0.0506606,-0.0868892,1.29554,-0.00737841,-0.0383415,2.87402
-0.0330961,-0.127921,1.6213,0.00729346,-0.064201,3.26928
-0.0294836,-0.137797,1.93092,0.0107244,-0.0660352,3.28839
-0.0302373,-0.120195,2.25005,0.00973341,-0.0557232,2.95257
-0.0295267,-0.10672,2.56734,0.00931862,-0.0429905,3.10108
-0.0951604,-0.0891586,2.79738,-0.0391302,-0.0263726,2.87417
-0.0781038,-0.043974,2.99875,-0.0246167,0.00793636,2.35193
-0.068709,-0.074063,3.2519,-0.0273908,-0.0178638,2.25605
-0.0569744,-0.110744,3.46736,-0.0198019,-0.0433777,1.83456
-0.0351164,-0.133179,3.59952,0.000728296,-0.0536434,1.28394
-0.00210795,-0.13477,3.74171,0.0240797,-0.0491812,1.08037
0.0258566,-0.101828,3.87191,0.0487667,-0.0279201,0.841942
-0.00586464,-0.0786054,3.96906,0.0258124,-0.00838343,0.485878
0.013974,-0.0364288,3.94201,0.05691,0.0180292,0.16457
0.023118,-0.0500015,3.95577,0.111637,0.00105578,-0.154631
0.0485656,-0.0680485,3.96229,0.218656,-0.0245872,-0.240244
0.0320202,-0.0805547,3.96276,0.422351,-0.0443045,-0.253145
0.0771191,-0.110652,3.97873,0.697253,-0.0755629,-0.165853
0.204641,-0.112592,3.94377,1.18752,-0.0975295,-0.0591279
0.319476,-0.131291,3.88878,1.46737,-0.0729317,-0.125352
0.454624,-0.12763,3.93641,1.70143,-0.0858062,-0.125791
0.584816,-0.155334,3.97869,2.1866,-0.138883,-0.106441
0.810147,-0.157858,3.96354,2.53718,-0.161074,-0.12462
1.09689,-0.142988,4.0027,2.5711,-0.0874276,-0.141733
1.36777,-0.174372,3.9917,3.04614,-0.13472,-0.17985
1.65075,-0.186326,4.0016,2.96002,-0.134788,-0.182339
1.96489,-0.193001,4.02278,3.32241,-0.125432,-0.166761
2.30093,-0.192712,4.02578,3.40396,-0.00278538,-0.151293
2.578,-0.214836,4.07989,3.02948,0.0584992,-0.0784952
2.88223,-0.251383,4.07894,3.19106,0.165421,-0.0632728
3.1815,-0.20547,4.10931,3.02844,0.374212,-0.00823622
3.46937,-0.141074,4.09318,2.7432,0.564927,-0.0373196
3.73372,-0.121065,4.08026,2.782,0.881077,-0.00768816
4.04498,-0.00633448,4.07116,2.58768,1.25286,0.0250403
4.25781,0.116819,4.11231,2.1282,1.49579,0.0718806
4.47411,0.292455,4.12908,2.18125,1.8791,0.0623138
4.6763,0.453817,4.17636,1.87745,2.22765,0.0659228
4.80017,0.619897,4.16413,1.36986,2.27796,0.0283408
4.96585,0.895681,4.15929,1.21884,2.7252,-0.00750789
5.08242,1.20357,4.17091,0.969324,2.8476,-0.0572336
5.19389,1.46788,4.14061,0.584513,2.67056,-0.0826019
5.27403,1.74839,4.12279,0.424261,2.90259,-0.102754
5.27531,2.00222,4.11755,0.128781,2.56142,-0.0914354
5.31308,2.2476,4.16382,-0.00841259,2.67679,-0.099584
5.35941,2.55422,4.15988,-0.129957,2.44644,-0.0685716
5.33247,2.80536,4.15709,-0.273005,1.96492,-0.0331765
5.32087,3.01729,4.10826,-0.350184,1.81899,-0.0436945
5.32662,3.15456,4.07438,-0.405359,1.41305,-0.0372438
5.28359,3.23824,4.07658,-0.445798,0.815465,0.0247589
5.22381,3.32238,4.09038,-0.49358,0.409699,0.0945669
5.18153,3.34424,4.09151,-0.492245,-0.124883,0.106514
5.18384,3.24615,4.12294,-0.452541,-0.564996,0.0992978
5.14001,3.21125,4.171,-0.449848,-1.11814,0.111813
5.13346,3.08942,4.24987,-0.413453,-1.53275,0.150781
5.09299,2.93887,4.24322,-0.422777,-2.05101,0.135465
5.10347,2.71945,4.21842,-0.36851,-2.39657,0.088156
5.06175,2.56198,4.23088,-0.38718,-2.5646,0.0801664
5.00717,2.29564,4.25489,-0.436193,-3.14444,0.0855349
4.96743,1.9979,4.22514,-0.432878,-3.48508,0.0377064
4.89925,1.57162,4.24472,-0.412706,-3.56592,0.0238115
4.91625,1.24299,4.2606,-0.421436,-4.11883,0.0350505
4.90019,0.869096,4.25355,-0.44142,-4.02882,0.0265843
4.85575,0.49897,4.29437,-0.527372,-4.56908,0.0528604
4.76206,0.0550159,4.24624,-0.657123,-4.76773,0.012967
4.68544,-0.397374,4.27225,-0.857262,-4.46787,0.0282594
4.59848,-0.805372,4.3183,-1.20153,-4.84677,0.0644249
4.5053,-1.32977,4.3203,-1.42864,-4.96497,0.0796941
4.31027,-1.75588,4.30586,-1.56806,-4.61681,0.0695934
4.1127,-2.22857,4.28795,-2.06306,-4.97221,0.0714538
3.89154,-2.64823,4.32308,-2.27887,-4.44318,0.114822
3.64825,-3.11023,4.24697,-2.79296,-4.83426,0.0515563
3.34028,-3.57678,4.28413,-3.13951,-4.81033,0.0435092
3.02312,-4.07721,4.2985,-3.55493,-4.65561,0.0268086
2.65145,-4.47382,4.35001,-3.63186,-4.079,0.0457005
2.29787,-4.90973,4.36925,-4.15458,-4.43807,0.0428834
1.86842,-5.30241,4.3871,-4.05777,-3.9725,0.0393803
1.43209,-5.71596,4.37749,-4.69126,-4.16476,0.0321902
0.998625,-6.15332,4.37871,-4.55064,-3.63612,0.0348264
0.498064,-6.59346,4.35452,-5.21195,-3.98227,0.0229239
-0.0396237,-6.98071,4.32506,-5.4531,-3.83631,-0.00519435
-0.541508,-7.38363,4.35866,-5.14603,-3.24917,-0.0118336
-1.07565,-7.73082,4.32068,-5.65731,-3.23588,-0.054504
-1.67119,-8.07093,4.35866,-5.66402,-2.99766,-0.00840043
-2.1957,-8.39435,4.37847,-5.06421,-2.465,0.00043096
-2.70788,-8.6292,4.35223,-5.25472,-2.30705,-0.0492757
-3.20885,-8.91112,4.32086,-4.91778,-1.96198,-0.0918536
-3.65212,-9.09713,4.35084,-4.28252,-1.57956,-0.0446207
-4.08121,-9.28104,4.36172,-4.33178,-1.54067,-0.0327462
-4.47211,-9.41984,4.39118,-3.52735,-1.09153,-0.0383334
-4.82849,-9.57811,4.3213,-3.44311,-1.03833,-0.272211
-5.21553,-9.7464,4.26159,-3.20765,-0.95387,-0.521635
-5.49825,-9.89602,4.21948,-2.57382,-0.742654,-0.687903
-5.83223,-10.0103,4.13552,-2.39478,-0.69755,-0.878308
-6.09945,-10.0792,4.03584,-1.93892,-0.529882,-0.933833
-6.27433,-10.1885,3.92038,-1.53292,-0.422579,-0.845787
-6.45436,-10.2174,3.88566,-1.43298,-0.377941,-0.861846
-6.6096,-10.2877,3.85025,-1.1609,-0.289403,-0.804213
-6.73577,-10.3763,3.76292,-0.853617,-0.200665,-0.838353
-6.91869,-10.4538,3.68011,-0.922965,-0.281931,-1.08008
-7.05339,-10.5536,3.59295,-0.788958,-0.275882,-1.09166
-7.1538,-10.578,3.48294,-0.549735,-0.160106,-0.932559
-7.2449,-10.6219,3.38683,-0.489737,-0.162017,-0.987232
-7.36118,-10.6913,3.23597,-0.439124,-0.190758,-1.00537
-7.46463,-10.7609,3.1201,-0.327548,-0.148006,-0.921792
-7.56238,-10.7922,2.99258,-0.324763,-0.137851,-1.03028
-7.63425,-10.8416,2.86383,-0.24116,-0.0908099,-0.954392
-7.77258,-10.8525,2.77988,-0.304519,-0.10513,-1.02329
-7.80743,-10.8845,2.68764,-0.260598,-0.0838016,-1.0101
-7.83903,-10.8971,2.61991,-0.211122,-0.0328102,-0.889906
-7.86946,-10.9217,2.56575,-0.226242,-0.0367602,-0.914185
-7.96311,-10.9276,2.44341,-0.239306,-0.0479324,-0.749993
-8.02627,-10.9473,2.3942,-0.23029,0.0128642,-0.371921
-8.05866,-10.9618,2.37762,-0.240885,0.0596704,0.0065661
-8.08454,-10.9799,2.41659,-0.218756,0.0810754,0.382917
-8.10926,-11.0092,2.43934,-0.214483,0.0125065,0.386178
-8.14613,-11.0117,2.4677,-0.208336,0.0109122,0.354755
-8.15888,-11.0668,2.48583,-0.16737,-0.0142635,0.234695
-8.19909,-11.1392,2.48148,-0.142153,-0.0425097,0.145849
-8.2637,-11.1061,2.55094,-0.204832,-0.0439083,0.189196
-8.33451,-11.1327,2.57879,-0.19438,-0.0342303,0.190351
